"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 24 11:23:58 UTC 2026","Thu Sep 24 11:23:58 UTC 2026","534","specs","test_login_signup","TestLoginSignup","","","test_login_user_negative[webkit]",""
"passed","Thu Sep 24 11:23:35 UTC 2026","Thu Sep 24 11:23:36 UTC 2026","695","specs","test_login_signup","TestLoginSignup","","","test_login_user_negative[firefox]",""
"passed","Thu Sep 24 11:23:59 UTC 2026","Thu Sep 24 11:24:00 UTC 2026","266","specs","test_login_signup","TestLoginSignup","","","test_register_with_exist_email[chromium]",""
"passed","Thu Sep 24 11:23:44 UTC 2026","Thu Sep 24 11:23:44 UTC 2026","356","specs","test_login_signup","TestLoginSignup","","","test_register_with_exist_email[firefox]",""
"passed","Thu Sep 24 11:23:56 UTC 2026","Thu Sep 24 11:23:58 UTC 2026","1342","specs","test_login_signup","TestLoginSignup","","","test_logout_user[chromium]",""
"passed","Thu Sep 24 11:24:04 UTC 2026","Thu Sep 24 11:24:06 UTC 2026","1298","specs","test_login_signup","TestLoginSignup","","","test_login_user[webkit]",""
"passed","Thu Sep 24 11:23:41 UTC 2026","Thu Sep 24 11:23:44 UTC 2026","2165","specs","test_login_signup","TestLoginSignup","","","test_login_user[firefox]",""
"passed","Thu Sep 24 11:24:04 UTC 2026","Thu Sep 24 11:24:05 UTC 2026","219","specs","test_login_signup","TestLoginSignup","","","test_register_with_exist_email[webkit]",""
"passed","Thu Sep 24 11:23:54 UTC 2026","Thu Sep 24 11:23:54 UTC 2026","427","specs","test_login_signup","TestLoginSignup","","","test_login_user_negative[chromium]",""
"passed","Thu Sep 24 11:23:34 UTC 2026","Thu Sep 24 11:23:38 UTC 2026","3732","specs","test_login_signup","TestLoginSignup","","","test_register_user[firefox]",""
"passed","Thu Sep 24 11:23:40 UTC 2026","Thu Sep 24 11:23:41 UTC 2026","1658","specs","test_login_signup","TestLoginSignup","","","test_logout_user[firefox]",""
"passed","Thu Sep 24 11:23:55 UTC 2026","Thu Sep 24 11:23:57 UTC 2026","2486","specs","test_login_signup","TestLoginSignup","","","test_register_user[chromium]",""
"passed","Thu Sep 24 11:24:01 UTC 2026","Thu Sep 24 11:24:02 UTC 2026","1453","specs","test_login_signup","TestLoginSignup","","","test_logout_user[webkit]",""
"passed","Thu Sep 24 11:23:58 UTC 2026","Thu Sep 24 11:24:02 UTC 2026","4131","specs","test_login_signup","TestLoginSignup","","","test_register_user[webkit]",""
"passed","Thu Sep 24 11:23:59 UTC 2026","Thu Sep 24 11:24:00 UTC 2026","1522","specs","test_login_signup","TestLoginSignup","","","test_login_user[chromium]",""
